No	Species	Species_ID	Functional_group	Family	Order	Sex	k	Linf_cm	Type_L	t0_yr	M_m	F_m	Z_m	M_method	Length_at_first_capture_cm	Length_at_recruitment_cm	L50_female_cm	A50_female_yr	Lifespan_yr	L50_Theo_cm	Exploited	In_ECS.SCS	Questionable	note	Ref_author	Ref_year	a_LW	b_LW	c_LW	note_LW	Sample_size	Growth_curve_fitting
1	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.289	132.6	TL	-0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.4	Yes	Yes	No	NA	Chen_and_Lee	1982	0.000281525	3.2268	0	NA	NA	NA
2	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.271	128.7	TL	-0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.8	Yes	Yes	No	NA	Chen_and_Lee	1982	0.000111602	3.4467	0	NA	NA	NA
3	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.182	227.44968	TL	-2.161	NA	NA	NA	NA	NA	NA	NA	NA	NA	151.63312	Yes	Yes	No	NA	Shih	2011	NA	NA	NA	NA	40	Non_linear
4	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.168	152.2137888	TL	-2.682	NA	NA	NA	NA	NA	NA	NA	NA	NA	101.4758592	Yes	Yes	No	Lower_jaw_to_anal_length	Kwok	2000	0.059099802	2.561	0	NA	724	Ford_Walford
5	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	F	0.158	155.2933152	TL	-2.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	103.5288768	Yes	Yes	No	Lower_jaw_to_anal_length	Kwok	2000	0.061878735	2.549	0	NA	578	Ford_Walford
6	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	M	0.116	193.7999136	TL	-2.737	NA	NA	NA	NA	NA	NA	NA	NA	NA	129.1999424	Yes	Yes	No	Lower_jaw_to_anal_length	Kwok	2000	0.056342865	2.571	0	NA	146	Ford_Walford
7	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.32	156	TL	0	0.49	3.9	7.5	Pauly	NA	NA	NA	NA	NA	104	Yes	Yes	No	NA	Pitcher	1997	2.91E-04	3.14	0	NA	NA	NA
8	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	F	0.321	121.393488	TL	-1.534	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.928992	Yes	Yes	No	Lower_jaw_to_anal_length	Munekiyo_and_Kuwahara	1988	NA	NA	NA	NA	541	Ford_Walford
9	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	M	0.522	96.356688	TL	-1.161	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.237792	Yes	Yes	No	Lower_jaw_to_anal_length	Munekiyo_and_Kuwahara	1988	NA	NA	NA	NA	348	Ford_Walford
10	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	F	0.46	66	TL	NA	0.86	2.6	3.46	Pauly	32.3	NA	NA	NA	NA	44	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	3711	Length_based
