No	Species	Species_ID	Location	Lat_min	Lat_max	Lat_mean	Lon_min	Lon_max	Lon_mean	Year_min	Year_max	Depth_min_m	Depth_max_m	Spp_depth_min	Spp_depth_max	SST_WOA	min_WOASST	max_WOASST	cv_WOASST	BT_WOA	min_WOABT	max_WOABT	cv_WOABT	mean_chla	min_chla	max_chla	cv_chla	BT_WOA_spp_depth	min_WOABT_spp_depth	max_WOABT_spp_depth	cv_WOABT_spp_depth
1	Trichiurus_lepturus	1	Southwest_Taiwan	22.4333	22.4333	22.4333	120.4167	120.4167	120.4167	1976	1977	NA	NA	100	200	26.97166667	26.786	27.057	0.00310847	6.649222222	2.525	22.985	0.973201568	0.177267925	0.156436468	0.293600223	0.248182982	17.09544444	16.104	22.985	0.129585305
2	Trichiurus_lepturus	1	East_Taiwan	23.0833	23.9167	23.5	121.3833	121.6667	121.525	1976	1977	NA	NA	100	150	26.75944444	26.681	26.862	0.002257957	2.189888889	1.543	4.345	0.466289684	0.139880944	0.107272421	0.205526182	0.227566697	20.83944444	20.326	21.159	0.012673011
3	Trichiurus_lepturus	1	Southern_East_China_Sea	22.1483	22.7511	22.4497	121.2103	121.4656	121.33795	2002	2003	NA	NA	100	150	27.07477778	26.958	27.17	0.00284624	3.609333333	1.593	9.913	0.693425502	0.13064529	0.117557532	0.171466929	0.139852015	20.22066667	19.343	21.021	0.026318279
4	Trichiurus_lepturus	1	Hong_Kong	22.1833	22.1833	22.1833	114.1833	114.1833	114.1833	1996	1997	NA	NA	5	150	24.81388889	24.514	25.122	0.009032945	23.51322222	22.847	24.199	0.022343308	0.996054291	0.374565938	2.864804237	0.813805573	23.51322222	22.847	24.199	0.022343308
5	Trichiurus_lepturus	1	Hong_Kong	22.1833	22.1833	22.1833	114.1833	114.1833	114.1833	1996	1997	NA	NA	5	150	24.81388889	24.514	25.122	0.009032945	23.51322222	22.847	24.199	0.022343308	0.996054291	0.374565938	2.864804237	0.813805573	23.51322222	22.847	24.199	0.022343308
6	Trichiurus_lepturus	1	Hong_Kong	22.1833	22.1833	22.1833	114.1833	114.1833	114.1833	1996	1997	NA	NA	5	150	24.81388889	24.514	25.122	0.009032945	23.51322222	22.847	24.199	0.022343308	0.996054291	0.374565938	2.864804237	0.813805573	23.51322222	22.847	24.199	0.022343308
7	Trichiurus_lepturus	1	Hong_Kong	22.1833	22.1833	22.1833	114.1833	114.1833	114.1833	1976	1997	NA	NA	5	150	24.81388889	24.514	25.122	0.009032945	23.51322222	22.847	24.199	0.022343308	0.996054291	0.374565938	2.864804237	0.813805573	23.51322222	22.847	24.199	0.022343308
8	Trichiurus_lepturus	1	Western_Wakasa_Bay_Japan	35.5	35.5	35.5	135.3333	135.3333	135.3333	1981	1982	NA	NA	5	150	17.94311111	17.817	18.097	0.005023544	3.531888889	0.718	14.777	1.311046682	0.503264752	0.424588095	0.613870596	0.118876318	9.992	9.094	14.777	0.180742206
9	Trichiurus_lepturus	1	Western_Wakasa_Bay_Japan	35.5	35.5	35.5	135.3333	135.3333	135.3333	1981	1982	NA	NA	5	150	17.94311111	17.817	18.097	0.005023544	3.531888889	0.718	14.777	1.311046682	0.503264752	0.424588095	0.613870596	0.118876318	9.992	9.094	14.777	0.180742206
10	Trichiurus_lepturus	1	Manila_Bay_Philippine	14.5	14.5	14.5	120.7333	120.7333	120.7333	1960	1961	NA	NA	5	150	28.36672727	28.21	28.525	0.003389387	9.027636364	2.376	28.22	1.039752492	1.437858974	0.138501762	14.77888625	2.92329029	19.516	18.036	28.22	0.167009605
